Serial Number,Exclusive Tag,News Headline,News Link,News Image URL
1,EXCLUSIVE,Harris' campaign is transforming big crowds into volunteers on the ground in key swing states,https://www.nbcnews.com/politics/2024-election/harris-campaign-transforming-big-crowds-volunteers-ground-key-swing-st-rcna166329,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240812-las-vegas-harris-walz-campaign-rally-ac-954p-6ed2a0.jpg"
2,EXCLUSIVE,Harris' campaign adds top adviser to lead outreach to Muslim and Arab voters,https://www.nbcnews.com/politics/2024-election/harris-campaign-adds-top-adviser-lead-outreach-muslim-arab-voters-rcna166318,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240812-kamala-harris-wm-525p-e145dd.jpg"
3,Opinion,RFK Jr.'s campaign is a decline. It could still be decisive on Election Day.,https://www.msnbc.com/opinion/msnbc-opinion/rfk-jr-trump-harris-third-party-election-rogan-rcna166263,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240812-robert-f-kennedy-jr-al-1426-63ddee.jpg"
4,Live Updates,Election 2024: Trump holds a rally-like event on X with Elon Musk after tech delays,https://www.nbcnews.com/politics/2024-election/live-blog/trump-harris-election-live-updates-rcna166164,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240812-harris-trump-split-wc-0734-c3dcd8.jpg"
5,NBC News NOW,New York judge rules against RFK Jr. from appearing on state’s ballot,https://www.nbcnews.com/now/video/new-york-judge-rules-against-rfk-jr-from-appearing-on-state-s-ballot-217057861604,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/mpx/2704722219/2024_08/1723551425075_now_mnn_rfk_newyork_rejection_240813_1920x1080-qmuiaf.jpg"
6,NBC News NOW,Veterans playing a vital role in 2024 elections,https://www.nbcnews.com/now/video/veterans-playing-a-vital-role-in-2024-elections-217030725958,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/mpx/2704722219/2024_08/1723514235768_now_hallie_walz_vance_240812_1920x1080-t148w7.jpg"
7,NBC News NOW,FBI confirms investigation into alleged Trump campaign hack by Iran,https://www.nbcnews.com/now/video/fbi-confirms-investigation-into-alleged-trump-campaign-hack-by-iran-217023045858,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/mpx/2704722219/2024_08/1723505710082_now_hallie_fbi_trump_240812_1920x1080-6mhbbo.jpg"
8,Nightly News,Trump returns to X ahead of interview with Elon Musk,https://www.nbcnews.com/nightly-news/video/trump-returns-to-x-ahead-of-interview-with-elon-musk-217023045522,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/mpx/2704722219/2024_08/1723504676401_nn_gh_trump_elonmusk_interview_240812_1920x1080-kg8jn1.jpg"
9,2024 Election,Biden's White House has tried to boost unions. The election could change that.,https://www.nbcnews.com/politics/2024-election/labor-unions-nlrb-biden-harris-trump-rcna164363,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2023-10/231024-uaw-gm-lansing-al-1042-1c4283.jpg"
10,OUT Politics and Policy,Tim Walz's Gay-Straight Alliance students remember him as accepting and goofy,https://www.nbcnews.com/nbc-out/out-politics-and-policy/tim-walz-lgbtq-rights-issues-teacher-governor-rcna165622,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240806-yearbook-tim-walz-2-ew-758p-2d7080.jpg"
11,Kamala Harris,Harris softens Biden's dark warnings about the state of democracy for a more 'joyful' message,https://www.nbcnews.com/politics/2024-election/harris-softens-bidens-dark-warnings-state-democracy-joyful-message-rcna165618,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-07/240703-biden-harris-mb-1244-412887.jpg"
12,2024 Election,RFK Jr.'s incredible disappearing campaign,https://www.nbcnews.com/politics/2024-election/rfk-jrs-incredible-disappearing-campaign-rcna164873,"https://media-cldnry.s-nbcnews.com/image/upload/t_focal-80x80,f_auto,q_auto:best/rockcms/2024-08/240802-Robert-F-Kennedy-jr-al-1113-3b96d4.jpg"
